k,quality,variance,silhouette
2,107.91307712781409,69.031423074825604,0.5069321542651817
3,111.37239202741414,57.14857693472889,0.3568987716301724
4,112.34504714442107,46.3956323871415,0.3547038192354031
5,146.34809257196412,16.33189992305535,0.33838679971853913
6,148.92860142890703,14.807888273947565,0.3809916495444861
7,151.65930442879935,13.454658978380637,0.24576733599619352
8,154.32392753790793,11.709684959785198,0.2707193264202809
9,153.87299858676633,11.842347722432603,0.2645232612209655
10,155.52244599158274,11.245783612793378,0.2373183129030857
