k,quality,variance,silhouette
2,155.4709649893298,39.37987262167766,0.39415953648528806
3,166.52178065701983,29.99308482061999,0.3503046475337611
4,174.24077033304252,24.763340753191155,0.30255311947006425
5,178.62295944077215,21.809361398128882,0.29539447161690224
6,182.89261740963096,19.099818810979556,0.29159368581833817
7,184.21454232916844,18.936091171801245,0.23344060787288262
8,188.31560196078593,16.70216243135538,0.25228163207157017
9,190.9104688184594,14.625098681233503,0.2580164084100782
10 , 193.1302080687934 , 14.122553332325172 , 0.26474274819798416
