k,quality,variance,silhouette
2,593.6066032138452,168.07511459877165,0.26384401214750425
3,620.1831549420314,146.43281552156967,0.19063220119738675
4,631.1014346095991,138.03682556956178,0.15635580366061824
5,648.095522461701,126.41078457407245,0.16674017021603055
6,655.577299827145,119.92393404962019,0.16181380957197997
7,663.2105476765565,114.63476971602952,0.14968715877460853
8,665.7355312409311,112.07970978427285,0.1403980388453151
9,670.3785744659382,108.25346086178708,0.1380690365221761
10,678.7248426716594,103.69697758882826,0.13363851995498105
