k,quality,variance,silhouette
2,266.13605428130114,472.6554424101289,0.752865848876055
3,443.21471995844024,234.31809386545729,0.615092500666192
4,491.6542454185176,211.9805143257369,0.4556005142824892
5,495.70989610353666,209.60656620986717,0.38952307928267355
6,499.12500756430563,208.85365914628048,0.28569852982404287
7,523.0826506175815,172.20416279291186,0.2901556745671399
8,523.3443637035742,171.29373361159884,0.3270984326413476
9,526.3219537147642,163.17726137608756,0.304560717013318
10,525.7195361149946,170.59803227379595,0.26547803710090234
